steps,date,interval
00,2012-10-01,0,weekdays
00,2012-10-01,5,weekdays
00,2012-10-01,10,weekdays
00,2012-10-01,15,weekdays
00,2012-10-01,20,weekdays
00,2012-10-01,25,weekdays
00,2012-10-01,30,weekdays
00,2012-10-01,35,weekdays
00,2012-10-01,40,weekdays
00,2012-10-01,45,weekdays
00,2012-10-01,50,weekdays
00,2012-10-01,55,weekdays
00,2012-10-01,100,weekdays
00,2012-10-01,105,weekdays
00,2012-10-01,110,weekdays
00,2012-10-01,115,weekdays
00,2012-10-01,120,weekdays
00,2012-10-01,125,weekdays
00,2012-10-01,130,weekdays
00,2012-10-01,135,weekdays
00,2012-10-01,140,weekdays
00,2012-10-01,145,weekdays
00,2012-10-01,150,weekdays
00,2012-10-01,155,weekdays
00,2012-10-01,200,weekdays
00,2012-10-01,205,weekdays
00,2012-10-01,210,weekdays
00,2012-10-01,215,weekdays
00,2012-10-01,220,weekdays
00,2012-10-01,225,weekdays
00,2012-10-01,230,weekdays
00,2012-10-01,235,weekdays
00,2012-10-01,240,weekdays
00,2012-10-01,245,weekdays
00,2012-10-01,250,weekdays
00,2012-10-01,255,weekdays
00,2012-10-01,300,weekdays
00,2012-10-01,305,weekdays
00,2012-10-01,310,weekdays
00,2012-10-01,315,weekdays
00,2012-10-01,320,weekdays
00,2012-10-01,325,weekdays
00,2012-10-01,330,weekdays
00,2012-10-01,335,weekdays
00,2012-10-01,340,weekdays
00,2012-10-01,345,weekdays
00,2012-10-01,350,weekdays
00,2012-10-01,355,weekdays
00,2012-10-01,400,weekdays
00,2012-10-01,405,weekdays
00,2012-10-01,410,weekdays
00,2012-10-01,415,weekdays
00,2012-10-01,420,weekdays
00,2012-10-01,425,weekdays
00,2012-10-01,430,weekdays
00,2012-10-01,435,weekdays
00,2012-10-01,440,weekdays
00,2012-10-01,445,weekdays
00,2012-10-01,450,weekdays
00,2012-10-01,455,weekdays
00,2012-10-01,500,weekdays
00,2012-10-01,505,weekdays
00,2012-10-01,510,weekdays
00,2012-10-01,515,weekdays
00,2012-10-01,520,weekdays
00,2012-10-01,525,weekdays
00,2012-10-01,530,weekdays
00,2012-10-01,535,weekdays
00,2012-10-01,540,weekdays
00,2012-10-01,545,weekdays
00,2012-10-01,550,weekdays
00,2012-10-01,555,weekdays
00,2012-10-01,600,weekdays
00,2012-10-01,605,weekdays
00,2012-10-01,610,weekdays
00,2012-10-01,615,weekdays
00,2012-10-01,620,weekdays
00,2012-10-01,625,weekdays
00,2012-10-01,630,weekdays
00,2012-10-01,635,weekdays
00,2012-10-01,640,weekdays
00,2012-10-01,645,weekdays
00,2012-10-01,650,weekdays
00,2012-10-01,655,weekdays
00,2012-10-01,700,weekdays
00,2012-10-01,705,weekdays
00,2012-10-01,710,weekdays
00,2012-10-01,715,weekdays
00,2012-10-01,720,weekdays
00,2012-10-01,725,weekdays
00,2012-10-01,730,weekdays
00,2012-10-01,735,weekdays
00,2012-10-01,740,weekdays
00,2012-10-01,745,weekdays
00,2012-10-01,750,weekdays
00,2012-10-01,755,weekdays
00,2012-10-01,800,weekdays
00,2012-10-01,805,weekdays
00,2012-10-01,810,weekdays
00,2012-10-01,815,weekdays
00,2012-10-01,820,weekdays
00,2012-10-01,825,weekdays
00,2012-10-01,830,weekdays
00,2012-10-01,835,weekdays
00,2012-10-01,840,weekdays
00,2012-10-01,845,weekdays
00,2012-10-01,850,weekdays
00,2012-10-01,855,weekdays
00,2012-10-01,900,weekdays
00,2012-10-01,905,weekdays
00,2012-10-01,910,weekdays
00,2012-10-01,915,weekdays
00,2012-10-01,920,weekdays
00,2012-10-01,925,weekdays
00,2012-10-01,930,weekdays
00,2012-10-01,935,weekdays
00,2012-10-01,940,weekdays
00,2012-10-01,945,weekdays
00,2012-10-01,950,weekdays
00,2012-10-01,955,weekdays
00,2012-10-01,1000,weekdays
00,2012-10-01,1005,weekdays
00,2012-10-01,1010,weekdays
00,2012-10-01,1015,weekdays
00,2012-10-01,1020,weekdays
00,2012-10-01,1025,weekdays
00,2012-10-01,1030,weekdays
00,2012-10-01,1035,weekdays
00,2012-10-01,1040,weekdays
00,2012-10-01,1045,weekdays
00,2012-10-01,1050,weekdays
00,2012-10-01,1055,weekdays
00,2012-10-01,1100,weekdays
00,2012-10-01,1105,weekdays
00,2012-10-01,1110,weekdays
00,2012-10-01,1115,weekdays
00,2012-10-01,1120,weekdays
00,2012-10-01,1125,weekdays
00,2012-10-01,1130,weekdays
00,2012-10-01,1135,weekdays
00,2012-10-01,1140,weekdays
00,2012-10-01,1145,weekdays
00,2012-10-01,1150,weekdays
00,2012-10-01,1155,weekdays
00,2012-10-01,1200,weekdays
00,2012-10-01,1205,weekdays
00,2012-10-01,1210,weekdays
00,2012-10-01,1215,weekdays
00,2012-10-01,1220,weekdays
00,2012-10-01,1225,weekdays
00,2012-10-01,1230,weekdays
00,2012-10-01,1235,weekdays
00,2012-10-01,1240,weekdays
00,2012-10-01,1245,weekdays
00,2012-10-01,1250,weekdays
00,2012-10-01,1255,weekdays
00,2012-10-01,1300,weekdays
00,2012-10-01,1305,weekdays
00,2012-10-01,1310,weekdays
00,2012-10-01,1315,weekdays
00,2012-10-01,1320,weekdays
00,2012-10-01,1325,weekdays
00,2012-10-01,1330,weekdays
00,2012-10-01,1335,weekdays
00,2012-10-01,1340,weekdays
00,2012-10-01,1345,weekdays
00,2012-10-01,1350,weekdays
00,2012-10-01,1355,weekdays
00,2012-10-01,1400,weekdays
00,2012-10-01,1405,weekdays
00,2012-10-01,1410,weekdays
00,2012-10-01,1415,weekdays
00,2012-10-01,1420,weekdays
00,2012-10-01,1425,weekdays
00,2012-10-01,1430,weekdays
00,2012-10-01,1435,weekdays
00,2012-10-01,1440,weekdays
00,2012-10-01,1445,weekdays
00,2012-10-01,1450,weekdays
00,2012-10-01,1455,weekdays
00,2012-10-01,1500,weekdays
00,2012-10-01,1505,weekdays
00,2012-10-01,1510,weekdays
00,2012-10-01,1515,weekdays
00,2012-10-01,1520,weekdays
00,2012-10-01,1525,weekdays
00,2012-10-01,1530,weekdays
00,2012-10-01,1535,weekdays
00,2012-10-01,1540,weekdays
00,2012-10-01,1545,weekdays
00,2012-10-01,1550,weekdays
00,2012-10-01,1555,weekdays
00,2012-10-01,1600,weekdays
00,2012-10-01,1605,weekdays
00,2012-10-01,1610,weekdays
00,2012-10-01,1615,weekdays
00,2012-10-01,1620,weekdays
00,2012-10-01,1625,weekdays
00,2012-10-01,1630,weekdays
00,2012-10-01,1635,weekdays
00,2012-10-01,1640,weekdays
00,2012-10-01,1645,weekdays
00,2012-10-01,1650,weekdays
00,2012-10-01,1655,weekdays
00,2012-10-01,1700,weekdays
00,2012-10-01,1705,weekdays
00,2012-10-01,1710,weekdays
00,2012-10-01,1715,weekdays
00,2012-10-01,1720,weekdays
00,2012-10-01,1725,weekdays
00,2012-10-01,1730,weekdays
00,2012-10-01,1735,weekdays
00,2012-10-01,1740,weekdays
00,2012-10-01,1745,weekdays
00,2012-10-01,1750,weekdays
00,2012-10-01,1755,weekdays
00,2012-10-01,1800,weekdays
00,2012-10-01,1805,weekdays
00,2012-10-01,1810,weekdays
00,2012-10-01,1815,weekdays
00,2012-10-01,1820,weekdays
00,2012-10-01,1825,weekdays
00,2012-10-01,1830,weekdays
00,2012-10-01,1835,weekdays
00,2012-10-01,1840,weekdays
00,2012-10-01,1845,weekdays
00,2012-10-01,1850,weekdays
00,2012-10-01,1855,weekdays
00,2012-10-01,1900,weekdays
00,2012-10-01,1905,weekdays
00,2012-10-01,1910,weekdays
00,2012-10-01,1915,weekdays
00,2012-10-01,1920,weekdays
00,2012-10-01,1925,weekdays
00,2012-10-01,1930,weekdays
00,2012-10-01,1935,weekdays
00,2012-10-01,1940,weekdays
00,2012-10-01,1945,weekdays
00,2012-10-01,1950,weekdays
00,2012-10-01,1955,weekdays
00,2012-10-01,2000,weekdays
00,2012-10-01,2005,weekdays
00,2012-10-01,2010,weekdays
00,2012-10-01,2015,weekdays
00,2012-10-01,2020,weekdays
00,2012-10-01,2025,weekdays
00,2012-10-01,2030,weekdays
00,2012-10-01,2035,weekdays
00,2012-10-01,2040,weekdays
